material,Channel,Band,Recording,r,rob_r,p,q,rob_p,rob_q
Maps,AF3,Delta,Eyes Closed,0.009617180731602887,-0.1323405602827855,0.9471507540384805,0.9708392164200865,0.3595836186551963,0.7221554481947263
Maps,AF3,Theta,Eyes Closed,0.07165614431488858,-0.059608286645054916,0.6209485794637222,0.7902981920447373,0.6809263096884237,0.9532968335637931
Maps,AF3,Alpha,Eyes Closed,0.11268494255915168,0.10354024520137753,0.4358997235354426,0.5921532619809726,0.47426997628410483,0.8299724584971835
Maps,AF3,Low Beta,Eyes Closed,0.18941314908081885,0.15529477392413463,0.1876912640911809,0.31599110887274245,0.2815359614190365,0.4971806043610747
Maps,AF3,Upper Beta,Eyes Closed,0.3139396522562544,0.26248922668935065,0.026404908050260037,0.09241717817591014,0.06553772841248753,0.18350563955496507
Maps,AF3,High Beta,Eyes Closed,0.2187420701520117,0.15342840262643614,0.12696817790330256,0.40260711177095443,0.2874299358139192,0.6470754199703593
Maps,AF3,Gamma,Eyes Closed,0.10128685355688746,-0.07242344510313443,0.48399324738847127,0.923930494582726,0.6172049735907053,0.9628967791271998
Maps,AF4,Delta,Eyes Closed,0.09600743132693641,-0.008252031281956174,0.5071774738407837,0.9708392164200865,0.9546441751269168,0.9693682830185142
Maps,AF4,Theta,Eyes Closed,0.07910919140380658,-0.007724917266627899,0.5850006076110614,0.7902981920447373,0.9575386232175004,0.976151765584141
Maps,AF4,Alpha,Eyes Closed,0.14713358832541004,0.12844654719468446,0.30789936494196135,0.5822306200478885,0.3740180258648844,0.7603919867992315
Maps,AF4,Low Beta,Eyes Closed,0.2157364462992798,0.19877133787804965,0.13240515528651337,0.31599110887274245,0.16641088789757383,0.4971806043610747
Maps,AF4,Upper Beta,Eyes Closed,0.3386733043703144,0.3250026696486585,0.016137944832651758,0.09241717817591014,0.02128462204286294,0.18350563955496507
Maps,AF4,High Beta,Eyes Closed,0.28002019635162806,0.219258981167764,0.0488888665890805,0.34222206612356354,0.12605032823006082,0.6470754199703593
Maps,AF4,Gamma,Eyes Closed,0.14499586000954023,-0.006749387708366965,0.3150580875963358,0.923930494582726,0.9628967791271998,0.9628967791271998
Maps,F3,Delta,Eyes Closed,-0.005303883234623393,-0.046695004570377494,0.9708392164200865,0.9708392164200865,0.7474466563588908,0.927723255040794
Maps,F3,Theta,Eyes Closed,0.07195883008335342,0.004337305094803207,0.619470654698671,0.7902981920447373,0.976151765584141,0.976151765584141
Maps,F3,Alpha,Eyes Closed,0.13985502734500152,0.08881905263518938,0.3327032114559363,0.5822306200478885,0.5396286434995157,0.83942233433258
Maps,F3,Low Beta,Eyes Closed,0.1832644736065299,0.10649779353633947,0.20269167886658437,0.31599110887274245,0.46166770404956936,0.4971806043610747
Maps,F3,Upper Beta,Eyes Closed,0.2558460095223067,0.1747782891092268,0.07292090568413134,0.11982457366891607,0.22475499461415277,0.39332124057476736
Maps,F3,High Beta,Eyes Closed,0.1844514547948876,0.1353068608680133,0.19973198789312044,0.40260711177095443,0.3488188531366717,0.6470754199703593
Maps,F3,Gamma,Eyes Closed,0.02164208317156904,0.014744122172815153,0.8814120771504272,0.923930494582726,0.9190541789602936,0.9628967791271998
Maps,F4,Delta,Eyes Closed,0.23891899644800818,0.22337174012898245,0.09472581928363376,0.3434256572699158,0.11892495338659284,0.5180665794590601
Maps,F4,Theta,Eyes Closed,0.12171108858058124,0.1586071158056024,0.39979000387637986,0.7902981920447373,0.2712724898019613,0.7730901748930461
Maps,F4,Alpha,Eyes Closed,0.15647850183535408,0.12680750275345223,0.27783921790991406,0.5822306200478885,0.38019599339961574,0.7603919867992315
Maps,F4,Low Beta,Eyes Closed,0.199715269588105,0.18358773936349965,0.16436622662776132,0.31599110887274245,0.20188258056717753,0.4971806043610747
Maps,F4,Upper Beta,Eyes Closed,0.28964216478704763,0.26464505865810733,0.04132643648554233,0.11571402215951851,0.06327440107548724,0.18350563955496507
Maps,F4,High Beta,Eyes Closed,0.2152143080520951,0.21711185931658064,0.13336720560641252,0.40260711177095443,0.1298958489499386,0.6470754199703593
Maps,F4,Gamma,Eyes Closed,0.13536587867533517,0.09924119388670254,0.3486067085096862,0.923930494582726,0.4929099915427845,0.9628967791271998
Maps,F7,Delta,Eyes Closed,-0.05802161142471864,-0.07403881185942383,0.6889832863088445,0.9708392164200865,0.6093552124421171,0.927723255040794
Maps,F7,Theta,Eyes Closed,0.08663574695055198,-0.025623746796760882,0.5496803291384129,0.7902981920447373,0.8597963352059907,0.976151765584141
Maps,F7,Alpha,Eyes Closed,0.1153072367037482,0.03987308465851666,0.42522585439326843,0.5921532619809726,0.7833750914293633,0.8436347138470066
Maps,F7,Low Beta,Eyes Closed,0.202892083259159,0.11294116287176531,0.1576195257378306,0.31599110887274245,0.43485024977582176,0.4971806043610747
Maps,F7,Upper Beta,Eyes Closed,0.2541061748129401,0.14932757839432034,0.07495955561795134,0.11982457366891607,0.30066150769698824,0.46769567863975947
Maps,F7,High Beta,Eyes Closed,0.12093397935748396,-0.11147694546708427,0.4028285208854895,0.5639599292396852,0.44086666544114705,0.6470754199703593
Maps,F7,Gamma,Eyes Closed,-0.02091648763385263,-0.19135572925090116,0.885360912685867,0.923930494582726,0.18312143457371993,0.9176203892589279
Maps,F8,Delta,Eyes Closed,0.011083097857161708,-0.037648730876600686,0.9391092659528464,0.9708392164200865,0.7951913614635376,0.927723255040794
Maps,F8,Theta,Eyes Closed,0.14679715989721942,0.1570378319531767,0.30901901375634827,0.7902981920447373,0.2761036338903736,0.7730901748930461
Maps,F8,Alpha,Eyes Closed,0.1729080776978863,0.1582168427805863,0.22983261099636715,0.5822306200478885,0.2724686983470849,0.7603919867992315
Maps,F8,Low Beta,Eyes Closed,0.20574391755053228,0.20878341365516315,0.15173805408805002,0.31599110887274245,0.14564943385474322,0.4971806043610747
Maps,F8,Upper Beta,Eyes Closed,0.3191906814014415,0.28159982031228464,0.023858953616136387,0.09241717817591014,0.04757542477239288,0.18350563955496507
Maps,F8,High Beta,Eyes Closed,0.18381964375063115,0.11376113508813418,0.20130355588547721,0.40260711177095443,0.43150116928536486,0.6470754199703593
Maps,F8,Gamma,Eyes Closed,0.06477981496680026,-0.05017383642196034,0.6549135291011088,0.923930494582726,0.7293222764790632,0.9628967791271998
Maps,FC5,Delta,Eyes Closed,-0.02965209774217192,-0.04127859945391114,0.8380302541858082,0.9708392164200865,0.7759333645137779,0.927723255040794
Maps,FC5,Theta,Eyes Closed,0.024579762576979282,-0.09317763488673514,0.8654547665958519,0.9320282101801481,0.5198327245961105,0.9532968335637931
Maps,FC5,Alpha,Eyes Closed,0.07778839983384123,-0.01713972459203316,0.5913024732197961,0.6367872788520881,0.9059572342871703,0.9059572342871703
Maps,FC5,Low Beta,Eyes Closed,0.12790833989350667,0.10681940035896831,0.3760399982722885,0.5264559975812039,0.4603083268926541,0.4971806043610747
Maps,FC5,Upper Beta,Eyes Closed,0.15314904066337418,0.07869373261356209,0.28831904302565137,0.36695150930537446,0.5869796170064945,0.6321318952377633
Maps,FC5,High Beta,Eyes Closed,0.07149542636142156,0.053127087207920996,0.6217339205589165,0.7253562406520693,0.7140498009006461,0.7520667169673365
Maps,FC5,Gamma,Eyes Closed,0.013853207726688943,0.026425641617529423,0.923930494582726,0.923930494582726,0.855454750818597,0.9628967791271998
Maps,FC6,Delta,Eyes Closed,0.06929387971765931,0.005571546970984776,0.632533382827154,0.9708392164200865,0.9693682830185142,0.9693682830185142
Maps,FC6,Theta,Eyes Closed,0.10637339694012866,0.10584655593089108,0.4621940888843661,0.7902981920447373,0.4644270108326817,0.9532968335637931
Maps,FC6,Alpha,Eyes Closed,0.16677019808740473,0.14895114635499737,0.24704972698105754,0.5822306200478885,0.30189546904363507,0.7603919867992315
Maps,FC6,Low Beta,Eyes Closed,0.18308688270118514,0.2024251676021005,0.20313714141819156,0.31599110887274245,0.15859818368743925,0.4971806043610747
Maps,FC6,Upper Beta,Eyes Closed,0.27158033612836807,0.29573420254518407,0.05641456003128547,0.11982457366891607,0.037054990802030924,0.18350563955496507
Maps,FC6,High Beta,Eyes Closed,0.15270116534048508,0.09731453207276458,0.28974820975347604,0.507059367068583,0.5013853235302757,0.6470754199703593
Maps,FC6,Gamma,Eyes Closed,0.08756270244019428,-0.04953971336208452,0.5454018361951836,0.923930494582726,0.7326154313692244,0.9628967791271998
Maps,O1,Delta,Eyes Closed,0.22119791719511747,0.13193315338129072,0.12265202045354137,0.3434256572699158,0.36107772409736316,0.7221554481947263
Maps,O1,Theta,Eyes Closed,0.008800509266876573,0.027263048126212646,0.9516330301845093,0.9516330301845093,0.8509254207880056,0.976151765584141
Maps,O1,Alpha,Eyes Closed,-0.09592138996311272,-0.041389353386419386,0.5075599388408336,0.5921532619809726,0.775347796090492,0.8436347138470066
Maps,O1,Low Beta,Eyes Closed,-0.03928476699216111,-0.11034414732603161,0.7864957835121095,0.8469954591668871,0.4455528085331727,0.4971806043610747
Maps,O1,Upper Beta,Eyes Closed,0.09969599689381806,-0.028609687376392325,0.49092023000322993,0.5727402683371016,0.8436518107226844,0.8436518107226844
Maps,O1,High Beta,Eyes Closed,0.09345330076447192,0.04581244848550126,0.5185930121878323,0.660027470057241,0.7520667169673365,0.7520667169673365
Maps,O1,Gamma,Eyes Closed,0.13900690089414625,0.17015239470194415,0.33567251967999856,0.923930494582726,0.23745733471469166,0.9176203892589279
Maps,O2,Delta,Eyes Closed,0.22929825034396834,0.19054289402243887,0.10920043657864519,0.3434256572699158,0.18502377837823578,0.5180665794590601
Maps,O2,Theta,Eyes Closed,0.10615123582848207,0.07294576428804438,0.46313497109059865,0.7902981920447373,0.6146621068496103,0.9532968335637931
Maps,O2,Alpha,Eyes Closed,0.05976896504554448,0.07487430163039524,0.6801123451064953,0.6801123451064953,0.6053121544010063,0.8436347138470066
Maps,O2,Low Beta,Eyes Closed,0.09833991290915044,0.1167991474591847,0.49686542167213776,0.6323741730372663,0.41921972641948324,0.4971806043610747
Maps,O2,Upper Beta,Eyes Closed,0.19259837905031588,0.1177561043591887,0.18024035596579935,0.2523364983521191,0.41539278853735184,0.5815499039522926
Maps,O2,High Beta,Eyes Closed,0.20522906309344047,0.17187017174626576,0.15278771050786544,0.40260711177095443,0.23268435494913514,0.6470754199703593
Maps,O2,Gamma,Eyes Closed,0.18084096874557187,0.22509837678946426,0.2088303591679557,0.923930494582726,0.11602635908459508,0.9176203892589279
Maps,P7,Delta,Eyes Closed,0.20132638003614917,0.09406922694056903,0.16091881025166185,0.37547722392054433,0.5158284520277903,0.902699791048633
Maps,P7,Theta,Eyes Closed,-0.037080816311193456,0.06560384790155203,0.798215671532623,0.9312516167880602,0.650804866292448,0.9532968335637931
Maps,P7,Alpha,Eyes Closed,-0.14780805246919798,0.056458317063428624,0.3056625579029537,0.5822306200478885,0.6969550942370735,0.8436347138470066
Maps,P7,Low Beta,Eyes Closed,-0.02792675707468834,-0.012121676980158716,0.8473389518253467,0.8473389518253467,0.9334155885634444,0.9334155885634444
Maps,P7,Upper Beta,Eyes Closed,0.04912897595994288,0.09394592820321351,0.7347510413173173,0.7912703521878801,0.5163812801278456,0.617220334716512
Maps,P7,High Beta,Eyes Closed,0.027150929987158814,0.06891046265616496,0.8515315680305033,0.8515315680305033,0.634422063323874,0.740159073877853
Maps,P7,Gamma,Eyes Closed,0.02823615187075953,0.13618937269845885,0.8456681232813686,0.923930494582726,0.3456548741350599,0.9628967791271998
Maps,P8,Delta,Eyes Closed,0.32643589155822567,0.20084154294375345,0.020687114173450493,0.2896195984283069,0.16195064127099096,0.5180665794590601
Maps,P8,Theta,Eyes Closed,0.34256923639628023,0.19207182148713514,0.014881560805178997,0.20834185127250596,0.1814571702388628,0.7730901748930461
Maps,P8,Alpha,Eyes Closed,0.22154437153863296,0.1707440363015103,0.12205217070501678,0.5822306200478885,0.23580590945682892,0.7603919867992315
Maps,P8,Low Beta,Eyes Closed,0.2979847101915788,0.22300730854960915,0.03557212908206073,0.31599110887274245,0.11954370744592414,0.4971806043610747
Maps,P8,Upper Beta,Eyes Closed,0.3645112399070396,0.1964747931893574,0.009254512342788783,0.09241717817591014,0.1714626734428292,0.3429253468856584
Maps,P8,High Beta,Eyes Closed,0.3321685752989944,0.11498197437892167,0.018436743538107928,0.258114409533511,0.42654172414963243,0.6470754199703593
Maps,P8,Gamma,Eyes Closed,0.2876593896382128,0.16161261803431567,0.04280078242724503,0.5992109539814303,0.2621772540739794,0.9176203892589279
Maps,T7,Delta,Eyes Closed,-0.04241921007435869,-0.24530458935152033,0.769908790828516,0.9708392164200865,0.08597241406663793,0.5180665794590601
Maps,T7,Theta,Eyes Closed,-0.1475479350938822,-0.19603327738859627,0.30652397729374464,0.7902981920447373,0.17244649506323495,0.7730901748930461
Maps,T7,Alpha,Eyes Closed,-0.09896088437564632,-0.18432665808390927,0.49413842572438116,0.5921532619809726,0.20004171765349554,0.7603919867992315
Maps,T7,Low Beta,Eyes Closed,-0.059507165068780725,-0.1368932197595331,0.6814387559441196,0.7950118819348063,0.3431441826894839,0.4971806043610747
Maps,T7,Upper Beta,Eyes Closed,-0.02265047236362263,-0.09113911003108456,0.8759289795647107,0.8759289795647107,0.5290460011855818,0.617220334716512
Maps,T7,High Beta,Eyes Closed,-0.03738836469155955,-0.18320647837041448,0.796577519999712,0.8515315680305033,0.20283707616138288,0.6470754199703593
Maps,T7,Gamma,Eyes Closed,-0.017301756924862605,-0.1062252703309912,0.9050722452164128,0.923930494582726,0.46282131020724093,0.9628967791271998
Maps,T8,Delta,Eyes Closed,0.2468018336060296,0.3102128896406074,0.08401459417120322,0.3434256572699158,0.02834652772617501,0.3968513881664501
Maps,T8,Theta,Eyes Closed,0.25145706422408165,0.2905267328628288,0.07814990779719601,0.5470493545803721,0.040682262167376415,0.5695516703432698
Maps,T8,Alpha,Eyes Closed,0.2386211394334014,0.226859592079569,0.09515039752150667,0.5822306200478885,0.11312542435202108,0.7603919867992315
Maps,T8,Low Beta,Eyes Closed,0.21443038692206004,0.17746641007901348,0.1348214186440728,0.31599110887274245,0.21759355384548396,0.4971806043610747
Maps,T8,Upper Beta,Eyes Closed,0.2523770211238237,0.21708591751978118,0.07703008307287461,0.11982457366891607,0.1299428440721091,0.3031999695015879
Maps,T8,High Beta,Eyes Closed,0.13993699924833022,0.09572883502932199,0.3324170992361628,0.51709326547847545,0.5084164014052823,0.6470754199703593
Maps,T8,Gamma,Eyes Closed,0.03599700609454543,-0.006854885427087077,0.8039953858281721,0.923930494582726,0.9623172439921489,0.9628967791271998
Vocabulary,AF3,Delta,Eyes Closed,-0.007689159474731186,-0.14866495471689248,0.9577349937191619,0.9577349937191619,0.3028357991086897,0.7066168645869426
