material,Channel,Band,r,p,q
Maps,AF3,Delta,0.1799897225377257,0.21101718239430356,0.6855444210170548
Maps,AF3,Theta,0.12246811565416518,0.3968428829867203,0.5555800361814084
Maps,AF3,Alpha,0.2178409020963306,0.128580362299975,0.20001389691107221
Maps,AF3,Low Beta,0.25526749620979644,0.07359384446488096,0.20606276450166666
Maps,AF3,Upper Beta,0.3830389089590302,0.0060407473892927655,0.02114261586252468
Maps,AF3,High Beta,0.2788759647414696,0.04985856978771814,0.13967922074590597
Maps,AF3,Gamma,0.235604100015953,0.09953464696450856,0.44705306957202434
Maps,AF4,Delta,0.1405687930321725,0.3302170721432709,0.6855444210170548
Maps,AF4,Theta,0.13579385952017034,0.3470706703106946,0.5398877093721917
Maps,AF4,Alpha,0.24747406297435512,0.08314702352660745,0.18433875669937136
Maps,AF4,Low Beta,0.30075304676617554,0.03381564391970137,0.20606276450166666
Maps,AF4,Upper Beta,0.3833524063156211,0.005996053586060676,0.02114261586252468
Maps,AF4,High Beta,0.3148721610802177,0.025936875549068986,0.13967922074590597
Maps,AF4,Gamma,0.2559568285818908,0.07279255682638207,0.44705306957202434
Maps,F3,Delta,0.06453268232093994,0.6561477249264015,0.706620626843817
Maps,F3,Theta,0.24595202075120554,0.08512148775984797,0.4411954727856233
Maps,F3,Alpha,0.23176548380942008,0.10533643239964077,0.18433875669937136
Maps,F3,Low Beta,0.2213966604658814,0.12230764498706219,0.24372681066578233
Maps,F3,Upper Beta,0.32554796812999126,0.021055595086889495,0.036847291402056614
Maps,F3,High Beta,0.21908196590032056,0.12636407908375052,0.25272815816750105
Maps,F3,Gamma,0.12578468694193473,0.38408182290389914,0.6619113099793607
Maps,F4,Delta,0.10266481376716619,0.4780350225910901,0.6855444210170548
Maps,F4,Theta,0.2358909531590826,0.09911120832443324,0.4411954727856233
Maps,F4,Alpha,0.24835847169694597,0.08201634026629881,0.18433875669937136
Maps,F4,Low Beta,0.2646843175877768,0.06323377208038228,0.20606276450166666
Maps,F4,Upper Beta,0.3378039447507297,0.01643029687295938,0.03427163717465861
Maps,F4,High Beta,0.29371273963778366,0.03843002954614846,0.13967922074590597
Maps,F4,Gamma,0.20441065002049633,0.15446724057835323,0.44705306957202434
Maps,F7,Delta,0.2327771564221657,0.10378274131341719,0.6855444210170548
Maps,F7,Theta,0.14829026906512008,0.30406973858174396,0.5398877093721917
Maps,F7,Alpha,0.24651153993544292,0.08439143000698986,0.18433875669937136
Maps,F7,Low Beta,0.28053135114259004,0.04846065944738094,0.20606276450166666
Maps,F7,Upper Beta,0.4283284601857124,0.0019144330104557473,0.01340103107319023
Maps,F7,High Beta,0.2788445213670333,0.04988543598068071,0.13967922074590597
Maps,F7,Gamma,0.20192010223191897,0.15966181056143727,0.44705306957202434
Maps,F8,Delta,0.07099755014359145,0.6241694162036218,0.706620626843817
Maps,F8,Theta,0.1745151184464789,0.22546477001173593,0.5260844633607172
Maps,F8,Alpha,0.2874234006225082,0.04297909011968911,0.18433875669937136
Maps,F8,Low Beta,0.24179909217057366,0.09069585303381494,0.21162365707890154
Maps,F8,Upper Beta,0.3357589112819071,0.017135818587329304,0.03427163717465861
Maps,F8,High Beta,0.19884315821461818,0.16625466924608504,0.2909456711806488
Maps,F8,Gamma,0.08792787152860851,0.5437207525425973,0.6619113099793607
Maps,FC5,Delta,0.031908661838075586,0.8258886985429381,0.8258886985429381
Maps,FC5,Theta,-0.028442194662550435,0.8445558000931133,0.9853151001086322
Maps,FC5,Alpha,0.16664227408597532,0.24741762114932475,0.31489515419004965
Maps,FC5,Low Beta,0.1892267246191923,0.18813406675091873,0.2633876934512862
Maps,FC5,Upper Beta,0.22929303924044575,0.10920871112485529,0.1528921955747974
Maps,FC5,High Beta,0.13705641264645216,0.3425636731751247,0.40325144381193073
Maps,FC5,Gamma,0.0941812494045237,0.5153264406973743,0.6619113099793607
Maps,FC6,Delta,-0.1153247673847082,0.42515499815393787,0.6855444210170548
Maps,FC6,Theta,0.09434257103510522,0.5146039346127074,0.6549504622343548
Maps,FC6,Alpha,0.18980659997254926,0.186759170255347,0.2614628383574858
Maps,FC6,Low Beta,0.1315771243343385,0.3623864910634438,0.461219170444383
Maps,FC6,Upper Beta,0.1790084353028967,0.21355791548899122,0.24915090140382312
Maps,FC6,High Beta,0.1361923878444232,0.3456440946959406,0.40325144381193073
Maps,FC6,Gamma,0.03715799703186458,0.7978044884925556,0.7978044884925556
Maps,O1,Delta,0.07421929544038042,0.6084808414678284,0.706620626843817
Maps,O1,Theta,0.0112614529082381,0.9381312692146943,0.9879944907711375
Maps,O1,Alpha,0.08519189918438831,0.5563763483390607,0.6491057397289042
Maps,O1,Low Beta,0.026225964861119815,0.8565354411749555,0.8565354411749555
Maps,O1,Upper Beta,0.19139874756533412,0.18302114788894364,0.23293600640411008
Maps,O1,High Beta,0.14525963497763264,0.3141690888906243,0.40325144381193073
Maps,O1,Gamma,0.12611575244801848,0.3828214877978743,0.6619113099793607
Maps,O2,Delta,0.12297817182397584,0.3948644022824853,0.6855444210170548
Maps,O2,Theta,0.1373212525686807,0.34162287981882444,0.5398877093721917
Maps,O2,Alpha,0.23804861533609592,0.09597064168193925,0.18433875669937136
Maps,O2,Low Beta,0.20983328862570702,0.14358902152793168,0.24372681066578233
Maps,O2,Upper Beta,0.3436188996804393,0.01455768754080478,0.03427163717465861
Maps,O2,High Beta,0.23916095585940456,0.09438200319336364,0.2202246741178485
Maps,O2,Gamma,0.1758367410346754,0.22191595100285824,0.5178038856733359
Maps,P7,Delta,0.1284518651779065,0.373998079471794,0.6855444210170548
Maps,P7,Theta,-0.002183220309736671,0.9879944907711375,0.9879944907711375
Maps,P7,Alpha,0.06781277041341913,0.639841930356897,0.6890605403843505
Maps,P7,Low Beta,0.04081348690207443,0.7783938099137434,0.8382702568301852
Maps,P7,Upper Beta,0.11162668881661945,0.4402492631938102,0.47411459113179555
Maps,P7,High Beta,0.07422225128844298,0.6084665260675797,0.6084665260675797
Maps,P7,Gamma,0.06206301792540066,0.6685308726220547,0.7199563243622127
Maps,P8,Delta,0.11694538462571269,0.41863361747430083,0.6855444210170548
Maps,P8,Theta,0.2749929885103285,0.05326628941300446,0.4411954727856233
Maps,P8,Alpha,0.3158008288549854,0.025477692893625448,0.18433875669937136
Maps,P8,Low Beta,0.31972468784673497,0.023612002907581267,0.20606276450166666
Maps,P8,Upper Beta,0.43588986966735704,0.001555530366959954,0.01340103107319023
Maps,P8,High Beta,0.3105162004173142,0.028184176158928823,0.13967922074590597
Maps,P8,Gamma,0.23668167339726326,0.09795119163662182,0.44705306957202434
Maps,T7,Delta,-0.09998120379584806,0.48967458644075346,0.6855444210170548
Maps,T7,Theta,-0.19094825781224953,0.18407331082864362,0.5154052703202021
Maps,T7,Alpha,-0.0334609341657846,0.8175597874763612,0.8175597874763612
Maps,T7,Low Beta,-0.09234061968831873,0.5236059611291091,0.610873621317294
Maps,T7,Upper Beta,-0.07168172346984647,0.6208236266122081,0.6208236266122081
Maps,T7,High Beta,-0.136586662232908,0.3442363131360878,0.40325144381193073
Maps,T7,Gamma,-0.1051120483871022,0.46754976751500366,0.6619113099793607
Maps,T8,Delta,0.19824762775092514,0.1675532582015098,0.6855444210170548
Maps,T8,Theta,0.2192558633237154,0.12605584936732095,0.4411954727856233
Maps,T8,Alpha,0.2695535362945409,0.058354229656926604,0.18433875669937136
Maps,T8,Low Beta,0.20334160372365934,0.15668152114228864,0.24372681066578233
Maps,T8,Upper Beta,0.2339967318187882,0.10193327086557506,0.1528921955747974
Maps,T8,High Beta,0.08105128260594616,0.5757896765852085,0.6084665260675797
Maps,T8,Gamma,0.08284271920716443,0.5673525514108805,0.6619113099793607
Vocabulary,AF3,Delta,0.1567695682750431,0.2769351522117868,0.8937908679033256
Vocabulary,AF3,Theta,0.042338295488391305,0.7703357340789279,0.9526466405022743
Vocabulary,AF3,Alpha,0.17637698007978928,0.22047651828071774,0.3429634728811165
Vocabulary,AF3,Low Beta,0.19391787679642555,0.17721695597836876,0.39438071215130704
Vocabulary,AF3,Upper Beta,0.2183343942558608,0.12769561039796634,0.3575477091143057
Vocabulary,AF3,High Beta,0.12957464101771102,0.369801116141402,0.9905560154893804
Vocabulary,AF3,Gamma,0.07954469388495962,0.5829293514339835,0.719974247624725
Vocabulary,AF4,Delta,0.08968641945250598,0.5356602787164193,0.8937908679033256
Vocabulary,AF4,Theta,0.06249529296548334,0.6663569694029297,0.9526466405022743
Vocabulary,AF4,Alpha,0.19594003861801962,0.17265477911507718,0.3429634728811165
Vocabulary,AF4,Low Beta,0.2673380807743963,0.060535433456010625,0.28249868946138296
Vocabulary,AF4,Upper Beta,0.2525622091515,0.07680620014218358,0.26882170049764254
Vocabulary,AF4,High Beta,0.1394521401607433,0.3341116738731694,0.9905560154893804
Vocabulary,AF4,Gamma,0.07888186396329613,0.5860830942606612,0.719974247624725
Vocabulary,F3,Delta,-0.13611662768495777,0.34591500749229487,0.8937908679033256
Vocabulary,F3,Theta,0.04199177021778705,0.772164924705149,0.9526466405022743
Vocabulary,F3,Alpha,0.16472306725843744,0.2529816367410624,0.3541742914374873
Vocabulary,F3,Low Beta,0.0867780277251172,0.5490225729375865,0.6405263350938509
Vocabulary,F3,Upper Beta,0.18214711167890116,0.2055059222258039,0.38010575146046977
Vocabulary,F3,High Beta,-0.001717379177701091,0.9905560154893804,0.9905560154893804
Vocabulary,F3,Gamma,-0.09561781945073669,0.5089105194332906,0.719974247624725
Vocabulary,F4,Delta,-0.12207710868149736,0.39836349243767577,0.8937908679033256
Vocabulary,F4,Theta,0.04284481457181836,0.7676642166361737,0.9526466405022743
Vocabulary,F4,Alpha,0.17741768275519326,0.21772193773308604,0.3429634728811165
Vocabulary,F4,Low Beta,0.17577976603452766,0.22206813634896386,0.39438071215130704
Vocabulary,F4,Upper Beta,0.20054127100071445,0.1625921004964815,0.37938156782512356
Vocabulary,F4,High Beta,0.00978143169494594,0.9462494588701575,0.9905560154893804
Vocabulary,F4,Gamma,-0.11416890685074815,0.42984107912958813,0.719974247624725
Vocabulary,F7,Delta,0.15600407527076232,0.27931697485826873,0.8937908679033256
Vocabulary,F7,Theta,0.08650729723283358,0.5502744679919704,0.9526466405022743
Vocabulary,F7,Alpha,0.1877458428723437,0.1916780473568248,0.3429634728811165
Vocabulary,F7,Low Beta,0.21543395860891212,0.1329618587045796,0.39438071215130704
Vocabulary,F7,Upper Beta,0.2580091610495599,0.07044777673934098,0.26882170049764254
Vocabulary,F7,High Beta,0.1421980415537211,0.3245859480514883,0.9905560154893804
Vocabulary,F7,Gamma,0.07244072353337497,0.6171207836783357,0.719974247624725
Vocabulary,F8,Delta,-0.050195387156530255,0.7292104428131214,0.8937908679033256
Vocabulary,F8,Theta,9.132508277444893e-4,0.9949778903475657,0.9949778903475657
Vocabulary,F8,Alpha,0.20764207317749128,0.1479141271522802,0.3429634728811165
Vocabulary,F8,Low Beta,0.17455377824162915,0.225360406943604,0.39438071215130704
Vocabulary,F8,Upper Beta,0.1776146566882253,0.21720328654883986,0.38010575146046977
Vocabulary,F8,High Beta,0.013141356008827057,0.9278287305619908,0.9905560154893804
Vocabulary,F8,Gamma,-0.10378655661298004,0.47321349422131,0.719974247624725
Vocabulary,FC5,Delta,-0.07255786532990156,0.6165501336642354,0.8937908679033256
Vocabulary,FC5,Theta,-0.17192217334209545,0.23254089987825977,0.9526466405022743
Vocabulary,FC5,Alpha,0.06300892211326348,0.663777462686909,0.7213076427966811
Vocabulary,FC5,Low Beta,0.04875655586009256,0.7366891411690515,0.7366891411690515
Vocabulary,FC5,Upper Beta,0.08465130365677181,0.5588932969632181,0.7113187415895503
Vocabulary,FC5,High Beta,0.005546367124237981,0.9695066534506962,0.9905560154893804
Vocabulary,FC5,Gamma,-0.01878255015028307,0.8969898618782715,0.8969898618782715
Vocabulary,FC6,Delta,-0.16632122164007945,0.24834256490578208,0.8937908679033256
Vocabulary,FC6,Theta,-0.036939422128025506,0.7989690946310816,0.9526466405022743
Vocabulary,FC6,Alpha,0.1101930077303506,0.4461801119051576,0.5678655969702006
Vocabulary,FC6,Low Beta,0.10938977102814754,0.4495220964959735,0.6103034304993638
Vocabulary,FC6,Upper Beta,0.05396253851233394,0.7097490913662186,0.7643451753174662
Vocabulary,FC6,High Beta,-0.017953507876092345,0.9015136721277346,0.9905560154893804
Vocabulary,FC6,Gamma,-0.10104170688618445,0.48505731921329986,0.719974247624725
Vocabulary,O1,Delta,-0.09619338136330394,0.5063514029253138,0.8937908679033256
Vocabulary,O1,Theta,-0.04925354663964218,0.7341031311583734,0.9526466405022743
Vocabulary,O1,Alpha,0.18510215066571495,0.19812253678013653,0.3429634728811165
Vocabulary,O1,Low Beta,0.10231958338725185,0.47952412396378585,0.6103034304993638
Vocabulary,O1,Upper Beta,0.16310390295624091,0.25774095149222476,0.4009303689879052
Vocabulary,O1,High Beta,-0.033447581877891215,0.8176313472588086,0.9905560154893804
Vocabulary,O1,Gamma,-0.10755562174630846,0.4572046242521619,0.719974247624725
Vocabulary,O2,Delta,-0.043140398801719916,0.7661064582028505,0.8937908679033256
Vocabulary,O2,Theta,0.025853151379389892,0.8585538778062524,0.9526466405022743
Vocabulary,O2,Alpha,0.24246863077777095,0.08977841654847302,0.3429634728811165
Vocabulary,O2,Low Beta,0.28030351264074516,0.04865114718213742,0.28249868946138296
Vocabulary,O2,Upper Beta,0.2932378920441567,0.038759047753513964,0.26882170049764254
Vocabulary,O2,High Beta,0.05751413571981412,0.6915674761521446,0.9905560154893804
Vocabulary,O2,Gamma,-0.0813316672065572,0.5744653702214066,0.719974247624725
Vocabulary,P7,Delta,-0.1228351794659753,0.395418478499197,0.8937908679033256
Vocabulary,P7,Theta,-0.1713042762463469,0.2342494033566751,0.9526466405022743
Vocabulary,P7,Alpha,0.06181374883724234,0.6697856683112039,0.7213076427966811
Vocabulary,P7,Low Beta,-0.053512573115334354,0.7120643062506975,0.7366891411690515
Vocabulary,P7,Upper Beta,0.0010526723134780412,0.9942112018772422,0.9942112018772422
Vocabulary,P7,High Beta,-0.12741965439640854,0.3778815717982743,0.9905560154893804
Vocabulary,P7,Gamma,-0.1553479210722831,0.28136929498655217,0.719974247624725
Vocabulary,P8,Delta,-0.0665253557947717,0.6462223328041758,0.8937908679033256
Vocabulary,P8,Theta,0.09974484135393152,0.4907067844788616,0.9526466405022743
Vocabulary,P8,Alpha,0.24086840958716704,0.09198323177638432,0.3429634728811165
Vocabulary,P8,Low Beta,0.2961807243682369,0.036756793280696275,0.28249868946138296
Vocabulary,P8,Upper Beta,0.3128995029016197,0.026935280686277437,0.26882170049764254
Vocabulary,P8,High Beta,0.0815201010981515,0.5735761485152985,0.9905560154893804
Vocabulary,P8,Gamma,-0.04888633934171929,0.7360135541378894,0.7926299813792654
Vocabulary,T7,Delta,0.005877872117060238,0.9676850117749564,0.9679279768167927
Vocabulary,T7,Theta,-0.20177945836471592,0.15995892291130423,0.9526466405022743
Vocabulary,T7,Alpha,0.011812126356286243,0.9351122685443032,0.9351122685443032
Vocabulary,T7,Low Beta,-0.10928923563228207,0.4499413544080746,0.6103034304993638
Vocabulary,T7,Upper Beta,-0.09707874825861496,0.5024276373020844,0.7033986922229181
Vocabulary,T7,High Beta,-0.13242613119152966,0.35927027842155257,0.9905560154893804
Vocabulary,T7,Gamma,-0.10825406059139892,0.45427075427941477,0.719974247624725
Vocabulary,T8,Delta,0.005833655305768463,0.9679279768167927,0.9679279768167927
Vocabulary,T8,Theta,0.021056181789311543,0.884600451894969,0.9526466405022743
Vocabulary,T8,Alpha,0.17911721002393893,0.21327522911535374,0.3429634728811165
Vocabulary,T8,Low Beta,0.1858559145719363,0.19626966291894965,0.39438071215130704
Vocabulary,T8,Upper Beta,0.05718550137681142,0.6932428221986804,0.7643451753174662
Vocabulary,T8,High Beta,-0.09832220098450939,0.4969433173354443,0.9905560154893804
Vocabulary,T8,Gamma,-0.10288231211924849,0.4770981334115728,0.719974247624725
